RU;4;1297;TransparentCalls;0.94;450;86;34
US;14;971;E-Voice;0.85;554;55;8
GB;32;1319;TransparentCalls;0.65;681;62;16
FR;79;854;TransparentCalls;0.69;218;16;57
BL;45;1586;E-Voice;0.75;55;69;11
AT;69;203;TransparentCalls;0.87;565;74;30
BG;38;1838;E-Voice;0.96;406;80;4
DK;18;524;JustPhone;0.79;742;80;36
CA;51;1115;JustPhone;0.98;146;70;53
ES;85;365;E-Voice;0.80;417;82;53
CH;98;1929;JustPhone;0.69;692;3;40
TR;81;716;TransparentCalls;0.98;463;71;30
PE;74;1243;JustPhone;0.71;926;7;49
NZ;53;1941;JustPhone;0.98;732;34;53
MC;7;877;E-Voice;0.67;511;1;44
